2017-12-18 10:13:22,368 p=25318 u=packetferret |   25318 1513613602.36770: starting run
2017-12-18 10:14:16,684 p=25433 u=packetferret |   25433 1513613656.68377: Loading CallbackModule 'foreman' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/foreman.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,685 p=25433 u=packetferret |   25433 1513613656.68592: assigned :doc
2017-12-18 10:14:16,686 p=25433 u=packetferret |   25433 1513613656.68612: Loaded config def from plugin (callback/foreman)
2017-12-18 10:14:16,686 p=25433 u=packetferret |   25433 1513613656.68634: Loading CallbackModule 'full_skip' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/full_skip.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,686 p=25433 u=packetferret |   25433 1513613656.68691: assigned :doc
2017-12-18 10:14:16,687 p=25433 u=packetferret |   25433 1513613656.68779: Loading CallbackModule 'hipchat' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/hipchat.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,689 p=25433 u=packetferret |   25433 1513613656.68922: assigned :doc
2017-12-18 10:14:16,689 p=25433 u=packetferret |   25433 1513613656.68940: Loaded config def from plugin (callback/hipchat)
2017-12-18 10:14:16,689 p=25433 u=packetferret |   25433 1513613656.68969: Loading CallbackModule 'jabber' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/jabber.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,691 p=25433 u=packetferret |   25433 1513613656.69127: assigned :doc
2017-12-18 10:14:16,691 p=25433 u=packetferret |   25433 1513613656.69143: Loaded config def from plugin (callback/jabber)
2017-12-18 10:14:16,691 p=25433 u=packetferret |   25433 1513613656.69164: Loading CallbackModule 'json' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/json.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,692 p=25433 u=packetferret |   25433 1513613656.69218: assigned :doc
2017-12-18 10:14:16,692 p=25433 u=packetferret |   25433 1513613656.69256: Loading CallbackModule 'junit' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/junit.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,694 p=25433 u=packetferret |   25433 1513613656.69447: assigned :doc
2017-12-18 10:14:16,694 p=25433 u=packetferret |   25433 1513613656.69469: Loaded config def from plugin (callback/junit)
2017-12-18 10:14:16,694 p=25433 u=packetferret |   25433 1513613656.69492: Loading CallbackModule 'log_plays' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/log_plays.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,695 p=25433 u=packetferret |   25433 1513613656.69554: assigned :doc
2017-12-18 10:14:16,696 p=25433 u=packetferret |   25433 1513613656.69601: Loading CallbackModule 'logentries' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/logentries.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,698 p=25433 u=packetferret |   25433 1513613656.69858: assigned :doc
2017-12-18 10:14:16,698 p=25433 u=packetferret |   25433 1513613656.69874: assigned :plainexamples
2017-12-18 10:14:16,699 p=25433 u=packetferret |   25433 1513613656.69895: Loaded config def from plugin (callback/logentries)
2017-12-18 10:14:16,699 p=25433 u=packetferret |   25433 1513613656.69928: Loading CallbackModule 'logstash' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/logstash.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,700 p=25433 u=packetferret |   25433 1513613656.70064: assigned :doc
2017-12-18 10:14:16,700 p=25433 u=packetferret |   25433 1513613656.70082: Loaded config def from plugin (callback/logstash)
2017-12-18 10:14:16,701 p=25433 u=packetferret |   25433 1513613656.70142: Loading CallbackModule 'mail' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/mail.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,702 p=25433 u=packetferret |   25433 1513613656.70260: assigned :doc
2017-12-18 10:14:16,702 p=25433 u=packetferret |   25433 1513613656.70281: Loaded config def from plugin (callback/mail)
2017-12-18 10:14:16,703 p=25433 u=packetferret |   25433 1513613656.70314: Loading CallbackModule 'minimal' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/minimal.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,704 p=25433 u=packetferret |   25433 1513613656.70426: assigned :doc
2017-12-18 10:14:16,704 p=25433 u=packetferret |   25433 1513613656.70459: Loading CallbackModule 'oneline' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/oneline.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,705 p=25433 u=packetferret |   25433 1513613656.70565: assigned :doc
2017-12-18 10:14:16,706 p=25433 u=packetferret |   25433 1513613656.70602: Loading CallbackModule 'osx_say' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/osx_say.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,706 p=25433 u=packetferret |   25433 1513613656.70691: assigned :doc
2017-12-18 10:14:16,707 p=25433 u=packetferret |   25433 1513613656.70728: Loading CallbackModule 'profile_roles' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/profile_roles.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,708 p=25433 u=packetferret |   25433 1513613656.70845: assigned :doc
2017-12-18 10:14:16,708 p=25433 u=packetferret |   25433 1513613656.70886: Loading CallbackModule 'profile_tasks' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/profile_tasks.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,710 p=25433 u=packetferret |   25433 1513613656.71065: assigned :doc
2017-12-18 10:14:16,710 p=25433 u=packetferret |   25433 1513613656.71078: assigned :plainexamples
2017-12-18 10:14:16,711 p=25433 u=packetferret |   25433 1513613656.71104: Loaded config def from plugin (callback/profile_tasks)
2017-12-18 10:14:16,711 p=25433 u=packetferret |   25433 1513613656.71148: Loading CallbackModule 'selective' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/selective.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,714 p=25433 u=packetferret |   25433 1513613656.71448: assigned :doc
2017-12-18 10:14:16,714 p=25433 u=packetferret |   25433 1513613656.71469: assigned :plainexamples
2017-12-18 10:14:16,715 p=25433 u=packetferret |   25433 1513613656.71502: Loaded config def from plugin (callback/selective)
2017-12-18 10:14:16,715 p=25433 u=packetferret |   25433 1513613656.71540: Loading CallbackModule 'skippy' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/skippy.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,716 p=25433 u=packetferret |   25433 1513613656.71604: assigned :doc
2017-12-18 10:14:16,716 p=25433 u=packetferret |   25433 1513613656.71654: Loading CallbackModule 'slack' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/slack.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,719 p=25433 u=packetferret |   25433 1513613656.71937: assigned :doc
2017-12-18 10:14:16,719 p=25433 u=packetferret |   25433 1513613656.71966: Loaded config def from plugin (callback/slack)
2017-12-18 10:14:16,719 p=25433 u=packetferret |   25433 1513613656.71992: Loading CallbackModule 'stderr' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/stderr.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,720 p=25433 u=packetferret |   25433 1513613656.72062: assigned :doc
2017-12-18 10:14:16,721 p=25433 u=packetferret |   25433 1513613656.72137: Loading CallbackModule 'syslog_json' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/syslog_json.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,722 p=25433 u=packetferret |   25433 1513613656.72254: assigned :doc
2017-12-18 10:14:16,722 p=25433 u=packetferret |   25433 1513613656.72269: Loaded config def from plugin (callback/syslog_json)
2017-12-18 10:14:16,722 p=25433 u=packetferret |   25433 1513613656.72289: Loading CallbackModule 'timer' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/timer.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,723 p=25433 u=packetferret |   25433 1513613656.72334: assigned :doc
2017-12-18 10:14:16,723 p=25433 u=packetferret |   25433 1513613656.72357: Loading CallbackModule 'tree' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/tree.py (found_in_cache=False, class_only=True)
2017-12-18 10:14:16,724 p=25433 u=packetferret |   25433 1513613656.72414: assigned :doc
2017-12-18 10:14:16,724 p=25433 u=packetferret |   25433 1513613656.72433: in VariableManager get_vars()
2017-12-18 10:14:16,733 p=25433 u=packetferret |   25433 1513613656.73310: Loading FilterModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/core.py
2017-12-18 10:14:16,733 p=25433 u=packetferret |   25433 1513613656.73358: Loading FilterModule 'ipaddr' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/ipaddr.py
2017-12-18 10:14:16,735 p=25433 u=packetferret |   25433 1513613656.73506: Loading FilterModule 'json_query' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/json_query.py
2017-12-18 10:14:16,735 p=25433 u=packetferret |   25433 1513613656.73529: Loading FilterModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/mathstuff.py
2017-12-18 10:14:16,735 p=25433 u=packetferret |   25433 1513613656.73573: Loading FilterModule 'network' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/network.py
2017-12-18 10:14:16,735 p=25433 u=packetferret |   25433 1513613656.73593: Loading FilterModule 'urlsplit' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/urlsplit.py
2017-12-18 10:14:16,736 p=25433 u=packetferret |   25433 1513613656.73657: Loading TestModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/test/core.py
2017-12-18 10:14:16,736 p=25433 u=packetferret |   25433 1513613656.73676: Loading TestModule 'files' from /usr/lib/python2.7/site-packages/ansible/plugins/test/files.py
2017-12-18 10:14:16,737 p=25433 u=packetferret |   25433 1513613656.73697: Loading TestModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/test/mathstuff.py
2017-12-18 10:14:16,739 p=25433 u=packetferret |   25433 1513613656.73908: done with get_vars()
2017-12-18 10:14:16,739 p=25433 u=packetferret |   25433 1513613656.73944: in VariableManager get_vars()
2017-12-18 10:14:16,739 p=25433 u=packetferret |   25433 1513613656.73974: Loading FilterModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/core.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,739 p=25433 u=packetferret |   25433 1513613656.73987: Loading FilterModule 'ipaddr' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/ipaddr.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,740 p=25433 u=packetferret |   25433 1513613656.74001: Loading FilterModule 'json_query' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/json_query.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,740 p=25433 u=packetferret |   25433 1513613656.74013: Loading FilterModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/mathstuff.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,740 p=25433 u=packetferret |   25433 1513613656.74024: Loading FilterModule 'network' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/network.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,740 p=25433 u=packetferret |   25433 1513613656.74035: Loading FilterModule 'urlsplit' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/urlsplit.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,740 p=25433 u=packetferret |   25433 1513613656.74058: Loading TestModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/test/core.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,740 p=25433 u=packetferret |   25433 1513613656.74068: Loading TestModule 'files' from /usr/lib/python2.7/site-packages/ansible/plugins/test/files.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,740 p=25433 u=packetferret |   25433 1513613656.74077: Loading TestModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/test/mathstuff.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,741 p=25433 u=packetferret |   25433 1513613656.74133: done with get_vars()
2017-12-18 10:14:16,741 p=25433 u=packetferret |  PLAY [### JUNOS - CREATE USER ###] ************************************************************************************************************************************************************
2017-12-18 10:14:16,757 p=25433 u=packetferret |   25433 1513613656.75754: Loading StrategyModule 'linear' from /usr/lib/python2.7/site-packages/ansible/plugins/strategy/linear.py
2017-12-18 10:14:16,758 p=25433 u=packetferret |   25433 1513613656.75834: getting the remaining hosts for this loop
2017-12-18 10:14:16,758 p=25433 u=packetferret |   25433 1513613656.75851: done getting the remaining hosts for this loop
2017-12-18 10:14:16,758 p=25433 u=packetferret |   25433 1513613656.75866: building list of next tasks for hosts
2017-12-18 10:14:16,758 p=25433 u=packetferret |   25433 1513613656.75876: getting the next task for host leaf01_re
2017-12-18 10:14:16,758 p=25433 u=packetferret |   25433 1513613656.75889: done getting next task for host leaf01_re
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75902:  ^ task is: TASK: meta (flush_handlers)
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75912:  ^ state is: HOST STATE: block=1, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75924: done building task lists
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75936: counting tasks in each state of execution
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75947: done counting tasks in each state of execution:
	num_setups: 0
	num_tasks: 1
	num_rescue: 0
	num_always: 0
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75960: advancing hosts in ITERATING_TASKS
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75970: starting to advance hosts
2017-12-18 10:14:16,759 p=25433 u=packetferret |   25433 1513613656.75982: getting the next task for host leaf01_re
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.75999: done getting next task for host leaf01_re
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.76015:  ^ task is: TASK: meta (flush_handlers)
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.76028:  ^ state is: HOST STATE: block=1, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.76039: done advancing hosts to next task
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.76055: done queuing things up, now waiting for results queue to drain
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.76066: results queue empty
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.76077: checking for any_errors_fatal
2017-12-18 10:14:16,760 p=25433 u=packetferret |   25433 1513613656.76087: done checking for any_errors_fatal
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76096: checking for max_fail_percentage
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76107: done checking for max_fail_percentage
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76115: checking to see if all hosts have failed and the running result is not ok
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76123: done checking to see if all hosts have failed
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76131: getting the remaining hosts for this loop
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76143: done getting the remaining hosts for this loop
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76155: building list of next tasks for hosts
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76167: getting the next task for host leaf01_re
2017-12-18 10:14:16,761 p=25433 u=packetferret |   25433 1513613656.76181: done getting next task for host leaf01_re
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76195:  ^ task is: TASK: # JUNOS - CREATE USER #
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76210:  ^ state is: HOST STATE: block=2, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76224: done building task lists
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76236: counting tasks in each state of execution
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76249: done counting tasks in each state of execution:
	num_setups: 0
	num_tasks: 1
	num_rescue: 0
	num_always: 0
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76262: advancing hosts in ITERATING_TASKS
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76273: starting to advance hosts
2017-12-18 10:14:16,762 p=25433 u=packetferret |   25433 1513613656.76284: getting the next task for host leaf01_re
2017-12-18 10:14:16,763 p=25433 u=packetferret |   25433 1513613656.76299: done getting next task for host leaf01_re
2017-12-18 10:14:16,763 p=25433 u=packetferret |   25433 1513613656.76313:  ^ task is: TASK: # JUNOS - CREATE USER #
2017-12-18 10:14:16,763 p=25433 u=packetferret |   25433 1513613656.76325:  ^ state is: HOST STATE: block=2, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-12-18 10:14:16,763 p=25433 u=packetferret |   25433 1513613656.76337: done advancing hosts to next task
2017-12-18 10:14:16,763 p=25433 u=packetferret |   25433 1513613656.76351: getting variables
2017-12-18 10:14:16,763 p=25433 u=packetferret |   25433 1513613656.76362: in VariableManager get_vars()
2017-12-18 10:14:16,764 p=25433 u=packetferret |   25433 1513613656.76411: Loading FilterModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/core.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,764 p=25433 u=packetferret |   25433 1513613656.76424: Loading FilterModule 'ipaddr' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/ipaddr.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,764 p=25433 u=packetferret |   25433 1513613656.76437: Loading FilterModule 'json_query' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/json_query.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,764 p=25433 u=packetferret |   25433 1513613656.76450: Loading FilterModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/mathstuff.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,764 p=25433 u=packetferret |   25433 1513613656.76463: Loading FilterModule 'network' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/network.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,764 p=25433 u=packetferret |   25433 1513613656.76475: Loading FilterModule 'urlsplit' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/urlsplit.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,765 p=25433 u=packetferret |   25433 1513613656.76506: Loading TestModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/test/core.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,765 p=25433 u=packetferret |   25433 1513613656.76520: Loading TestModule 'files' from /usr/lib/python2.7/site-packages/ansible/plugins/test/files.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,765 p=25433 u=packetferret |   25433 1513613656.76533: Loading TestModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/test/mathstuff.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,766 p=25433 u=packetferret |   25433 1513613656.76601: Calling all_inventory to load vars for leaf01_re
2017-12-18 10:14:16,766 p=25433 u=packetferret |   25433 1513613656.76616: Calling groups_inventory to load vars for leaf01_re
2017-12-18 10:14:16,766 p=25433 u=packetferret |   25433 1513613656.76632: Calling all_plugins_inventory to load vars for leaf01_re
2017-12-18 10:14:16,767 p=25433 u=packetferret |   25433 1513613656.76708: Loading VarsModule 'host_group_vars' from /usr/lib/python2.7/site-packages/ansible/plugins/vars/host_group_vars.py
2017-12-18 10:14:16,767 p=25433 u=packetferret |   25433 1513613656.76735: Calling all_plugins_play to load vars for leaf01_re
2017-12-18 10:14:16,767 p=25433 u=packetferret |   25433 1513613656.76756: Loading VarsModule 'host_group_vars' from /usr/lib/python2.7/site-packages/ansible/plugins/vars/host_group_vars.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,767 p=25433 u=packetferret |   25433 1513613656.76778: 	processing dir /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars
2017-12-18 10:14:16,768 p=25433 u=packetferret |   25433 1513613656.76809: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/aaa.yml
2017-12-18 10:14:16,768 p=25433 u=packetferret |   25433 1513613656.76867: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/banner.yml
2017-12-18 10:14:16,769 p=25433 u=packetferret |   25433 1513613656.76907: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/directories.yml
2017-12-18 10:14:16,769 p=25433 u=packetferret |   25433 1513613656.76944: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/management.yml
2017-12-18 10:14:16,770 p=25433 u=packetferret |   25433 1513613656.77003: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/monitoring.yml
2017-12-18 10:14:16,771 p=25433 u=packetferret |   25433 1513613656.77104: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/snmp.yml
2017-12-18 10:14:16,771 p=25433 u=packetferret |   25433 1513613656.77166: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/stp.yml
2017-12-18 10:14:16,772 p=25433 u=packetferret |   25433 1513613656.77202: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/system.yml
2017-12-18 10:14:16,772 p=25433 u=packetferret |   25433 1513613656.77270: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/system1.yml
2017-12-18 10:14:16,773 p=25433 u=packetferret |   25433 1513613656.77385: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/all/vagrant_key.yml
2017-12-18 10:14:16,774 p=25433 u=packetferret |   25433 1513613656.77428: Calling groups_plugins_inventory to load vars for leaf01_re
2017-12-18 10:14:16,774 p=25433 u=packetferret |   25433 1513613656.77462: Loading VarsModule 'host_group_vars' from /usr/lib/python2.7/site-packages/ansible/plugins/vars/host_group_vars.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,775 p=25433 u=packetferret |   25433 1513613656.77512: Calling groups_plugins_play to load vars for leaf01_re
2017-12-18 10:14:16,775 p=25433 u=packetferret |   25433 1513613656.77541: Loading VarsModule 'host_group_vars' from /usr/lib/python2.7/site-packages/ansible/plugins/vars/host_group_vars.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,775 p=25433 u=packetferret |   25433 1513613656.77570: 	processing dir /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars
2017-12-18 10:14:16,776 p=25433 u=packetferret |   25433 1513613656.77601: 	processing dir /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars
2017-12-18 10:14:16,776 p=25433 u=packetferret |   25433 1513613656.77626: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/group_vars/leaf/system.yml
2017-12-18 10:14:16,777 p=25433 u=packetferret |   25433 1513613656.77694: Loading VarsModule 'host_group_vars' from /usr/lib/python2.7/site-packages/ansible/plugins/vars/host_group_vars.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,777 p=25433 u=packetferret |   25433 1513613656.77744: Loading VarsModule 'host_group_vars' from /usr/lib/python2.7/site-packages/ansible/plugins/vars/host_group_vars.py (found_in_cache=True, class_only=False)
2017-12-18 10:14:16,777 p=25433 u=packetferret |   25433 1513613656.77773: 	processing dir /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/host_vars
2017-12-18 10:14:16,778 p=25433 u=packetferret |   25433 1513613656.77809: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/host_vars/leaf01_re/interfaces.yml
2017-12-18 10:14:16,780 p=25433 u=packetferret |   25433 1513613656.78034: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/host_vars/leaf01_re/protocols.yml
2017-12-18 10:14:16,783 p=25433 u=packetferret |   25433 1513613656.78327: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/host_vars/leaf01_re/routing_options.yml
2017-12-18 10:14:16,783 p=25433 u=packetferret |   25433 1513613656.78381: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/host_vars/leaf01_re/security.yml
2017-12-18 10:14:16,784 p=25433 u=packetferret |   25433 1513613656.78442: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/host_vars/leaf01_re/system.yml
2017-12-18 10:14:16,785 p=25433 u=packetferret |   25433 1513613656.78510: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/host_vars/leaf01_re/vlans.yml
2017-12-18 10:14:16,785 p=25433 u=packetferret |   25433 1513613656.78578: done with get_vars()
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78600: done getting variables
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78612: sending task start callback, copying the task so we can template it temporarily
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78623: done copying, going to template now
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78633: done templating
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78642: here goes the callback...
2017-12-18 10:14:16,786 p=25433 u=packetferret |  TASK [# JUNOS - CREATE USER #] ****************************************************************************************************************************************************************
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78660: sending task start callback
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78669: entering _queue_task() for leaf01_re/junos_user
2017-12-18 10:14:16,786 p=25433 u=packetferret |   25433 1513613656.78677: Creating lock for junos_user
2017-12-18 10:14:16,788 p=25433 u=packetferret |   25433 1513613656.78799: worker is 1 (out of 1 available)
2017-12-18 10:14:16,788 p=25433 u=packetferret |   25433 1513613656.78868: exiting _queue_task() for leaf01_re/junos_user
2017-12-18 10:14:16,788 p=25433 u=packetferret |   25433 1513613656.78889: done queuing things up, now waiting for results queue to drain
2017-12-18 10:14:16,789 p=25433 u=packetferret |   25433 1513613656.78902: waiting for pending results...
2017-12-18 10:14:16,792 p=25433 u=packetferret |   25443 1513613656.79215: running TaskExecutor() for leaf01_re/TASK: # JUNOS - CREATE USER #
2017-12-18 10:14:16,792 p=25433 u=packetferret |   25443 1513613656.79290: in run() - task 1c872c60-fa78-e233-388f-000000000010
2017-12-18 10:14:16,793 p=25433 u=packetferret |   25443 1513613656.79352: calling self._execute()
2017-12-18 10:14:16,795 p=25433 u=packetferret |   25443 1513613656.79528: Loading FilterModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/core.py (found_in_cache=True, class_only=False)
